Cuisine,Ingredient,Frequency
Swiss,green bell pepper,
Swedish,green bell pepper,1
French,green bell pepper,11
African,green bell pepper,55
Australian,green bell pepper,6
English,green bell pepper,6
Quebec,green bell pepper,
Middle Eastern,green bell pepper,23
Lebanese,green bell pepper,3
Greek,green bell pepper,30
South American,green bell pepper,41
Russian,green bell pepper,4
Japanese,green bell pepper,3
Puertorican,green bell pepper,8
Spanish,green bell pepper,44
Irish,green bell pepper,1
Thai,green bell pepper,21
Polynesian,green bell pepper,6
Iraqi,green bell pepper,
Pakistani,green bell pepper,1
Scottish,green bell pepper,1
South African,green bell pepper,2
Colombian,green bell pepper,2
Welsh,green bell pepper,
Czech,green bell pepper,
Filipino,green bell pepper,4
Cuban,green bell pepper,18
Belgian,green bell pepper,1
Costarican,green bell pepper,1
Guatemalan,green bell pepper,1
Finnish,green bell pepper,
Moroccan,green bell pepper,17
Iranian Persian,green bell pepper,1
Turkish,green bell pepper,3
Portuguese,green bell pepper,6
Hungarian,green bell pepper,9
Georgian,green bell pepper,
Brazilian,green bell pepper,7
Nigerian,green bell pepper,3
Ethiopian,green bell pepper,2
Ecuadorean,green bell pepper,
Peruvian,green bell pepper,
Egyptian,green bell pepper,2
Argentine,green bell pepper,7
Chilean,green bell pepper,2
Malaysian,green bell pepper,2
Nepalese,green bell pepper,2
Vietnamese,green bell pepper,1
Palestinian,green bell pepper,1
Norwegian,green bell pepper,
Austrian,green bell pepper,
Libyan,green bell pepper,
Angolan,green bell pepper,
Korean,green bell pepper,1
Cambodian,green bell pepper,
Mongolian,green bell pepper,
Northamerican,bay leaf,794
Mexican,bay leaf,72
American,bay leaf,535
Canadian,bay leaf,76
Hawaiian,bay leaf,2
South Eestern United States,bay leaf,48
Asian,bay leaf,140
Indian,bay leaf,81
German,bay leaf,46
European,bay leaf,709
Italian,bay leaf,166
Southern United States,bay leaf,189
Indonesian,bay leaf,4
Pacific North West,bay leaf,13
Polish,bay leaf,15
Chinese,bay leaf,3
British Columbian,bay leaf,14
Danish,bay leaf,3
Scandinavian,bay leaf,23
Swiss,bay leaf,5
Swedish,bay leaf,6
French,bay leaf,113
African,bay leaf,52
Australian,bay leaf,22
English,bay leaf,38
Quebec,bay leaf,9
Middle Eastern,bay leaf,34
Lebanese,bay leaf,2
Greek,bay leaf,43
South American,bay leaf,33
Russian,bay leaf,13
Japanese,bay leaf,3
Puertorican,bay leaf,3
Spanish,bay leaf,56
Irish,bay leaf,20
Thai,bay leaf,4
Polynesian,bay leaf,
Iraqi,bay leaf,
Pakistani,bay leaf,5
Scottish,bay leaf,15
South African,bay leaf,5
Colombian,bay leaf,3
Welsh,bay leaf,1
Czech,bay leaf,1
Filipino,bay leaf,12
Cuban,bay leaf,16
Belgian,bay leaf,10
Costarican,bay leaf,1
Guatemalan,bay leaf,
Finnish,bay leaf,7
Moroccan,bay leaf,15
Iranian Persian,bay leaf,4
Turkish,bay leaf,2
Portuguese,bay leaf,24
Hungarian,bay leaf,14
Georgian,bay leaf,2
Brazilian,bay leaf,7
Nigerian,bay leaf,3
Ethiopian,bay leaf,
Ecuadorean,bay leaf,1
Peruvian,bay leaf,1
Egyptian,bay leaf,2
Argentine,bay leaf,4
Chilean,bay leaf,2
Malaysian,bay leaf,
Nepalese,bay leaf,4
Vietnamese,bay leaf,2
Palestinian,bay leaf,3
Norwegian,bay leaf,2
Austrian,bay leaf,7
Libyan,bay leaf,
Angolan,bay leaf,
Korean,bay leaf,
Cambodian,bay leaf,
Mongolian,bay leaf,
Northamerican,ginger,430
Mexican,ginger,11
American,ginger,262
Canadian,ginger,45
Hawaiian,ginger,23
South Eestern United States,ginger,12
Asian,ginger,1289
Indian,ginger,321
German,ginger,9
European,ginger,115
Italian,ginger,10
Southern United States,ginger,29
Indonesian,ginger,29
Pacific North West,ginger,6
Polish,ginger,1
Chinese,ginger,262
British Columbian,ginger,5
Danish,ginger,3
Scandinavian,ginger,19
Swiss,ginger,2
Swedish,ginger,10
French,ginger,9
African,ginger,121
Australian,ginger,51
English,ginger,17
Quebec,ginger,1
Middle Eastern,ginger,26
Lebanese,ginger,3
Greek,ginger,2
South American,ginger,5
Russian,ginger,
Japanese,ginger,63
Puertorican,ginger,1
Spanish,ginger,
Irish,ginger,2
Thai,ginger,99
Polynesian,ginger,7
Iraqi,ginger,2
Pakistani,ginger,18
Scottish,ginger,6
South African,ginger,12
Colombian,ginger,
Welsh,ginger,2
Czech,ginger,
Filipino,ginger,7
Cuban,ginger,1
Belgian,ginger,
Costarican,ginger,
Guatemalan,ginger,
Finnish,ginger,2
Moroccan,ginger,52
Iranian Persian,ginger,1
Turkish,ginger,
Portuguese,ginger,4
Hungarian,ginger,2
Georgian,ginger,
Brazilian,ginger,1
Nigerian,ginger,3
Ethiopian,ginger,10
Ecuadorean,ginger,1
Peruvian,ginger,
Egyptian,ginger,1
Argentine,ginger,
Chilean,ginger,
Malaysian,ginger,18
Nepalese,ginger,19
Vietnamese,ginger,34
Palestinian,ginger,1
Norwegian,ginger,1
Austrian,ginger,
Libyan,ginger,
Angolan,ginger,
Korean,ginger,25
Cambodian,ginger,1
Mongolian,ginger,4
Northamerican,sesame oil,201
Mexican,sesame oil,7
American,sesame oil,138
Canadian,sesame oil,30
Hawaiian,sesame oil,27
South Eestern United States,sesame oil,8
Asian,sesame oil,1915
Indian,sesame oil,13
German,sesame oil,2
European,sesame oil,21
Italian,sesame oil,1
Southern United States,sesame oil,19
Indonesian,sesame oil,11
Pacific North West,sesame oil,9
Polish,sesame oil,
Chinese,sesame oil,587
British Columbian,sesame oil,6
Danish,sesame oil,
Scandinavian,sesame oil,
Swiss,sesame oil,
Swedish,sesame oil,
French,sesame oil,2
African,sesame oil,6
Australian,sesame oil,43
English,sesame oil,1
Quebec,sesame oil,
Middle Eastern,sesame oil,13
Lebanese,sesame oil,1
Greek,sesame oil,2
South American,sesame oil,1
Russian,sesame oil,
Japanese,sesame oil,149
Puertorican,sesame oil,1
Spanish,sesame oil,
Irish,sesame oil,1
Thai,sesame oil,108
Polynesian,sesame oil,3
Iraqi,sesame oil,1
Pakistani,sesame oil,
Scottish,sesame oil,
South African,sesame oil,
Colombian,sesame oil,
Welsh,sesame oil,
Czech,sesame oil,
Filipino,sesame oil,6
Cuban,sesame oil,
Belgian,sesame oil,
Costarican,sesame oil,
Guatemalan,sesame oil,
Finnish,sesame oil,
Moroccan,sesame oil,
Iranian Persian,sesame oil,1
Turkish,sesame oil,
Portuguese,sesame oil,
Hungarian,sesame oil,
Georgian,sesame oil,
Brazilian,sesame oil,
Nigerian,sesame oil,
Ethiopian,sesame oil,
Ecuadorean,sesame oil,
Peruvian,sesame oil,
Egyptian,sesame oil,
Argentine,sesame oil,
Chilean,sesame oil,
Malaysian,sesame oil,7
Nepalese,sesame oil,2
Vietnamese,sesame oil,27
Palestinian,sesame oil,
Norwegian,sesame oil,
Austrian,sesame oil,
Libyan,sesame oil,
Angolan,sesame oil,
Korean,sesame oil,116
Cambodian,sesame oil,2
Mongolian,sesame oil,4
Northamerican,canola oil,902
Mexican,canola oil,132
American,canola oil,568
Canadian,canola oil,84
Hawaiian,canola oil,10
South Eestern United States,canola oil,81
Asian,canola oil,554
Indian,canola oil,116
German,canola oil,36
European,canola oil,226
Italian,canola oil,51
Southern United States,canola oil,129
Indonesian,canola oil,6
Pacific North West,canola oil,6
Polish,canola oil,4
Chinese,canola oil,89
British Columbian,canola oil,8
Danish,canola oil,
Scandinavian,canola oil,10
Swiss,canola oil,5
Swedish,canola oil,5
French,canola oil,16
African,canola oil,57
Australian,canola oil,16
English,canola oil,12
Quebec,canola oil,2
Middle Eastern,canola oil,40
Lebanese,canola oil,5
Greek,canola oil,17
South American,canola oil,29
Russian,canola oil,4
Japanese,canola oil,20
Puertorican,canola oil,2
Spanish,canola oil,10
Irish,canola oil,7
Thai,canola oil,59
Polynesian,canola oil,2
Iraqi,canola oil,4
Pakistani,canola oil,3
Scottish,canola oil,3
South African,canola oil,7
Colombian,canola oil,
Welsh,canola oil,
Czech,canola oil,
Filipino,canola oil,8
Cuban,canola oil,3
Belgian,canola oil,1
Costarican,canola oil,3
Guatemalan,canola oil,
Finnish,canola oil,
Moroccan,canola oil,17
Iranian Persian,canola oil,6
Turkish,canola oil,2
Portuguese,canola oil,3
Hungarian,canola oil,1
Georgian,canola oil,
Brazilian,canola oil,5
Nigerian,canola oil,6
Ethiopian,canola oil,1
Ecuadorean,canola oil,2
Peruvian,canola oil,5
Egyptian,canola oil,6
Argentine,canola oil,3
Chilean,canola oil,
Malaysian,canola oil,3
Nepalese,canola oil,
Vietnamese,canola oil,10
Palestinian,canola oil,
Norwegian,canola oil,2
Austrian,canola oil,2
Libyan,canola oil,1
Angolan,canola oil,1
Korean,canola oil,10
Cambodian,canola oil,2
Mongolian,canola oil,
Northamerican,diced tomatoes,887
Mexican,diced tomatoes,252
American,diced tomatoes,557
Canadian,diced tomatoes,37
Hawaiian,diced tomatoes,
South Eestern United States,diced tomatoes,168
Asian,diced tomatoes,93
Indian,diced tomatoes,53
German,diced tomatoes,4
European,diced tomatoes,502
Italian,diced tomatoes,299
Southern United States,diced tomatoes,167
Indonesian,diced tomatoes,1
Pacific North West,diced tomatoes,8
Polish,diced tomatoes,12
Chinese,diced tomatoes,2
British Columbian,diced tomatoes,8
Danish,diced tomatoes,
Scandinavian,diced tomatoes,
Swiss,diced tomatoes,1
Swedish,diced tomatoes,
French,diced tomatoes,20
African,diced tomatoes,69
Australian,diced tomatoes,17
English,diced tomatoes,4
Quebec,diced tomatoes,
Middle Eastern,diced tomatoes,27
Lebanese,diced tomatoes,6
Greek,diced tomatoes,47
South American,diced tomatoes,14
Russian,diced tomatoes,7
Japanese,diced tomatoes,
Puertorican,diced tomatoes,1
Spanish,diced tomatoes,34
Irish,diced tomatoes,3
Thai,diced tomatoes,6
Polynesian,diced tomatoes,1
Iraqi,diced tomatoes,
Pakistani,diced tomatoes,2
Scottish,diced tomatoes,1
South African,diced tomatoes,2
Colombian,diced tomatoes,
Welsh,diced tomatoes,
Czech,diced tomatoes,
Filipino,diced tomatoes,2
Cuban,diced tomatoes,6
Belgian,diced tomatoes,
Costarican,diced tomatoes,1
Guatemalan,diced tomatoes,
Finnish,diced tomatoes,
Moroccan,diced tomatoes,34
Iranian Persian,diced tomatoes,4
Turkish,diced tomatoes,3
Portuguese,diced tomatoes,8
Hungarian,diced tomatoes,7
Georgian,diced tomatoes,
Brazilian,diced tomatoes,6
Nigerian,diced tomatoes,2
Ethiopian,diced tomatoes,1
Ecuadorean,diced tomatoes,
Peruvian,diced tomatoes,1
Egyptian,diced tomatoes,1
Argentine,diced tomatoes,
Chilean,diced tomatoes,
Malaysian,diced tomatoes,
Nepalese,diced tomatoes,
Vietnamese,diced tomatoes,
Palestinian,diced tomatoes,1
Norwegian,diced tomatoes,
Austrian,diced tomatoes,1
Libyan,diced tomatoes,1
Angolan,diced tomatoes,
Korean,diced tomatoes,
Cambodian,diced tomatoes,
Mongolian,diced tomatoes,
Northamerican,raisins,919
Mexican,raisins,60
American,raisins,537
Canadian,raisins,126
Hawaiian,raisins,12
South Eestern United States,raisins,21
Asian,raisins,192
Indian,raisins,86
German,raisins,44
European,raisins,437
Italian,raisins,41
Southern United States,raisins,84
Indonesian,raisins,4
Pacific North West,raisins,19
Polish,raisins,16
Chinese,raisins,2
British Columbian,raisins,17
Danish,raisins,7
Scandinavian,raisins,40
Swiss,raisins,12
Swedish,raisins,13
French,raisins,8
African,raisins,141
Australian,raisins,24
English,raisins,50
Quebec,raisins,8
Middle Eastern,raisins,88
Lebanese,raisins,3
Greek,raisins,21
South American,raisins,31
Russian,raisins,7
Japanese,raisins,4
Puertorican,raisins,1
Spanish,raisins,19
Irish,raisins,39
Thai,raisins,4
Polynesian,raisins,
Iraqi,raisins,3
Pakistani,raisins,5
Scottish,raisins,20
South African,raisins,20
Colombian,raisins,2
Welsh,raisins,7
Czech,raisins,5
Filipino,raisins,6
Cuban,raisins,10
Belgian,raisins,2
Costarican,raisins,
Guatemalan,raisins,1
Finnish,raisins,3
Moroccan,raisins,67
Iranian Persian,raisins,25
Turkish,raisins,10
Portuguese,raisins,3
Hungarian,raisins,4
Georgian,raisins,1
Brazilian,raisins,4
Nigerian,raisins,2
Ethiopian,raisins,1
Ecuadorean,raisins,2
Peruvian,raisins,4
Egyptian,raisins,9
Argentine,raisins,3
Chilean,raisins,6
Malaysian,raisins,2
Nepalese,raisins,
Vietnamese,raisins,1
Palestinian,raisins,
Norwegian,raisins,9
Austrian,raisins,6
Libyan,raisins,2
Angolan,raisins,
Korean,raisins,
Cambodian,raisins,
Mongolian,raisins,
Northamerican,salsa,1324
Mexican,salsa,977
American,salsa,500
Canadian,salsa,21
Hawaiian,salsa,
South Eestern United States,salsa,335
Asian,salsa,13
Indian,salsa,2
German,salsa,2
European,salsa,35
Italian,salsa,10
Southern United States,salsa,34
Indonesian,salsa,
Pacific North West,salsa,7
Polish,salsa,2
Chinese,salsa,2
British Columbian,salsa,4
Danish,salsa,
Scandinavian,salsa,1
Swiss,salsa,
Swedish,salsa,
French,salsa,1
African,salsa,7
Australian,salsa,7
English,salsa,3
Quebec,salsa,1
Middle Eastern,salsa,1
Lebanese,salsa,
Greek,salsa,2
South American,salsa,42
Russian,salsa,
Japanese,salsa,2
Puertorican,salsa,
Spanish,salsa,3
Irish,salsa,
Thai,salsa,1
Polynesian,salsa,
Iraqi,salsa,
Pakistani,salsa,
Scottish,salsa,
South African,salsa,
Colombian,salsa,
Welsh,salsa,
Czech,salsa,
Filipino,salsa,
Cuban,salsa,1
Belgian,salsa,
Costarican,salsa,1
Guatemalan,salsa,1
Finnish,salsa,
Moroccan,salsa,5
Iranian Persian,salsa,
Turkish,salsa,
Portuguese,salsa,
Hungarian,salsa,
Georgian,salsa,
Brazilian,salsa,4
Nigerian,salsa,
Ethiopian,salsa,
Ecuadorean,salsa,
Peruvian,salsa,2
Egyptian,salsa,
Argentine,salsa,
Chilean,salsa,
Malaysian,salsa,
Nepalese,salsa,
Vietnamese,salsa,
Palestinian,salsa,
Norwegian,salsa,
Austrian,salsa,
Libyan,salsa,
Angolan,salsa,
Korean,salsa,
Cambodian,salsa,
Mongolian,salsa,
Northamerican,boneless skinless chicken breasts,861
Mexican,boneless skinless chicken breasts,193
American,boneless skinless chicken breasts,527
Canadian,boneless skinless chicken breasts,59
Hawaiian,boneless skinless chicken breasts,12
South Eestern United States,boneless skinless chicken breasts,90
Asian,boneless skinless chicken breasts,368
Indian,boneless skinless chicken breasts,50
German,boneless skinless chicken breasts,3
European,boneless skinless chicken breasts,372
Italian,boneless skinless chicken breasts,177
Southern United States,boneless skinless chicken breasts,113
Indonesian,boneless skinless chicken breasts,2
Pacific North West,boneless skinless chicken breasts,10
Polish,boneless skinless chicken breasts,
Chinese,boneless skinless chicken breasts,88
British Columbian,boneless skinless chicken breasts,4
Danish,boneless skinless chicken breasts,
Scandinavian,boneless skinless chicken breasts,3
Swiss,boneless skinless chicken breasts,1
Swedish,boneless skinless chicken breasts,2
French,boneless skinless chicken breasts,48
African,boneless skinless chicken breasts,49
Australian,boneless skinless chicken breasts,10
English,boneless skinless chicken breasts,18
Quebec,boneless skinless chicken breasts,1
Middle Eastern,boneless skinless chicken breasts,23
Lebanese,boneless skinless chicken breasts,5
Greek,boneless skinless chicken breasts,41
South American,boneless skinless chicken breasts,20
Russian,boneless skinless chicken breasts,4
Japanese,boneless skinless chicken breasts,8
Puertorican,boneless skinless chicken breasts,
Spanish,boneless skinless chicken breasts,15
Irish,boneless skinless chicken breasts,1
Thai,boneless skinless chicken breasts,56
Polynesian,boneless skinless chicken breasts,4
Iraqi,boneless skinless chicken breasts,
Pakistani,boneless skinless chicken breasts,2
Scottish,boneless skinless chicken breasts,3
South African,boneless skinless chicken breasts,1
Colombian,boneless skinless chicken breasts,
Welsh,boneless skinless chicken breasts,2
Czech,boneless skinless chicken breasts,1
Filipino,boneless skinless chicken breasts,1
Cuban,boneless skinless chicken breasts,1
Belgian,boneless skinless chicken breasts,1
Costarican,boneless skinless chicken breasts,1
Guatemalan,boneless skinless chicken breasts,
Finnish,boneless skinless chicken breasts,
Moroccan,boneless skinless chicken breasts,29
Iranian Persian,boneless skinless chicken breasts,3
Turkish,boneless skinless chicken breasts,2
Portuguese,boneless skinless chicken breasts,5
Hungarian,boneless skinless chicken breasts,2
Georgian,boneless skinless chicken breasts,
Brazilian,boneless skinless chicken breasts,5
Nigerian,boneless skinless chicken breasts,
Ethiopian,boneless skinless chicken breasts,
Ecuadorean,boneless skinless chicken breasts,
Peruvian,boneless skinless chicken breasts,1
Egyptian,boneless skinless chicken breasts,2
Argentine,boneless skinless chicken breasts,3
Chilean,boneless skinless chicken breasts,2
Malaysian,boneless skinless chicken breasts,4
Nepalese,boneless skinless chicken breasts,1
Vietnamese,boneless skinless chicken breasts,7
Palestinian,boneless skinless chicken breasts,
Norwegian,boneless skinless chicken breasts,
Austrian,boneless skinless chicken breasts,2
Libyan,boneless skinless chicken breasts,
Angolan,boneless skinless chicken breasts,
Korean,boneless skinless chicken breasts,3
Cambodian,boneless skinless chicken breasts,1
Mongolian,boneless skinless chicken breasts,
Northamerican,pecans,1324
Mexican,pecans,35
American,pecans,986
Canadian,pecans,106
Hawaiian,pecans,7
South Eestern United States,pecans,29
Asian,pecans,19
Indian,pecans,2
German,pecans,23
European,pecans,178
Italian,pecans,22
Southern United States,pecans,356
Indonesian,pecans,1
Pacific North West,pecans,18
Polish,pecans,3
Chinese,pecans,2
British Columbian,pecans,15
Danish,pecans,3
Scandinavian,pecans,15
Swiss,pecans,3
Swedish,pecans,4
French,pecans,22
African,pecans,9
Australian,pecans,17
English,pecans,23
Quebec,pecans,1
Middle Eastern,pecans,6
Lebanese,pecans,1
Greek,pecans,5
South American,pecans,4
Russian,pecans,2
Japanese,pecans,2
Puertorican,pecans,1
Spanish,pecans,1
Irish,pecans,9
Thai,pecans,2
Polynesian,pecans,1
Iraqi,pecans,
Pakistani,pecans,
Scottish,pecans,12
South African,pecans,1
Colombian,pecans,
Welsh,pecans,3
Czech,pecans,2
Filipino,pecans,
Cuban,pecans,1
Belgian,pecans,1
Costarican,pecans,
Guatemalan,pecans,
Finnish,pecans,
Moroccan,pecans,1
Iranian Persian,pecans,
Turkish,pecans,1
Portuguese,pecans,1
Hungarian,pecans,2
Georgian,pecans,
Brazilian,pecans,
Nigerian,pecans,
Ethiopian,pecans,
Ecuadorean,pecans,
Peruvian,pecans,
Egyptian,pecans,
Argentine,pecans,
Chilean,pecans,1
Malaysian,pecans,
Nepalese,pecans,
Vietnamese,pecans,1
Palestinian,pecans,
Norwegian,pecans,4
Austrian,pecans,2
Libyan,pecans,
Angolan,pecans,
Korean,pecans,
Cambodian,pecans,
Mongolian,pecans,
Northamerican,onion powder,1134
Mexican,onion powder,161
American,onion powder,819
Canadian,onion powder,56
Hawaiian,onion powder,3
South Eestern United States,onion powder,127
Asian,onion powder,68
Indian,onion powder,11
German,onion powder,9
European,onion powder,236
Italian,onion powder,107
Southern United States,onion powder,314
Indonesian,onion powder,
Pacific North West,onion powder,15
Polish,onion powder,1
Chinese,onion powder,10
British Columbian,onion powder,6
Danish,onion powder,
Scandinavian,onion powder,4
Swiss,onion powder,1
Swedish,onion powder,4
French,onion powder,13
African,onion powder,23
Australian,onion powder,13
English,onion powder,11
Quebec,onion powder,2
Middle Eastern,onion powder,16
Lebanese,onion powder,2
Greek,onion powder,32
South American,onion powder,13
Russian,onion powder,3
Japanese,onion powder,6
Puertorican,onion powder,2
Spanish,onion powder,5
Irish,onion powder,2
Thai,onion powder,5
Polynesian,onion powder,1
Iraqi,onion powder,
Pakistani,onion powder,
Scottish,onion powder,3
South African,onion powder,1
Colombian,onion powder,
Welsh,onion powder,
Czech,onion powder,1
Filipino,onion powder,
Cuban,onion powder,4
Belgian,onion powder,1
Costarican,onion powder,
Guatemalan,onion powder,
Finnish,onion powder,
Moroccan,onion powder,5
Iranian Persian,onion powder,1
Turkish,onion powder,3
Portuguese,onion powder,2
Hungarian,onion powder,6
Georgian,onion powder,
Brazilian,onion powder,
Nigerian,onion powder,1
Ethiopian,onion powder,1
Ecuadorean,onion powder,
Peruvian,onion powder,
Egyptian,onion powder,1
Argentine,onion powder,1
Chilean,onion powder,
Malaysian,onion powder,
Nepalese,onion powder,
Vietnamese,onion powder,
Palestinian,onion powder,2
Norwegian,onion powder,
Austrian,onion powder,
Libyan,onion powder,
Angolan,onion powder,1
Korean,onion powder,1
Cambodian,onion powder,
Mongolian,onion powder,
Northamerican,salt & freshly ground black pepper,576
Mexican,salt & freshly ground black pepper,85
American,salt & freshly ground black pepper,327
Canadian,salt & freshly ground black pepper,91
Hawaiian,salt & freshly ground black pepper,1
South Eestern United States,salt & freshly ground black pepper,49
Asian,salt & freshly ground black pepper,152
Indian,salt & freshly ground black pepper,26
German,salt & freshly ground black pepper,35
European,salt & freshly ground black pepper,772
Italian,salt & freshly ground black pepper,241
Southern United States,salt & freshly ground black pepper,74
Indonesian,salt & freshly ground black pepper,2
Pacific North West,salt & freshly ground black pepper,18
Polish,salt & freshly ground black pepper,5
Chinese,salt & freshly ground black pepper,16
British Columbian,salt & freshly ground black pepper,15
Danish,salt & freshly ground black pepper,2
Scandinavian,salt & freshly ground black pepper,12
Swiss,salt & freshly ground black pepper,12
Swedish,salt & freshly ground black pepper,2
French,salt & freshly ground black pepper,93
African,salt & freshly ground black pepper,83
Australian,salt & freshly ground black pepper,62
English,salt & freshly ground black pepper,59
Quebec,salt & freshly ground black pepper,7
Middle Eastern,salt & freshly ground black pepper,57
Lebanese,salt & freshly ground black pepper,8
Greek,salt & freshly ground black pepper,79
South American,salt & freshly ground black pepper,36
Russian,salt & freshly ground black pepper,10
Japanese,salt & freshly ground black pepper,6
Puertorican,salt & freshly ground black pepper,2
Spanish,salt & freshly ground black pepper,44
Irish,salt & freshly ground black pepper,27
Thai,salt & freshly ground black pepper,13
Polynesian,salt & freshly ground black pepper,1
Iraqi,salt & freshly ground black pepper,2
Pakistani,salt & freshly ground black pepper,
Scottish,salt & freshly ground black pepper,12
South African,salt & freshly ground black pepper,7
Colombian,salt & freshly ground black pepper,6
Welsh,salt & freshly ground black pepper,6
Czech,salt & freshly ground black pepper,2
Filipino,salt & freshly ground black pepper,2
Cuban,salt & freshly ground black pepper,7
Belgian,salt & freshly ground black pepper,9
Costarican,salt & freshly ground black pepper,2
Guatemalan,salt & freshly ground black pepper,
Finnish,salt & freshly ground black pepper,
Moroccan,salt & freshly ground black pepper,36
Iranian Persian,salt & freshly ground black pepper,3
Turkish,salt & freshly ground black pepper,8
Portuguese,salt & freshly ground black pepper,8
Hungarian,salt & freshly ground black pepper,13
Georgian,salt & freshly ground black pepper,
Brazilian,salt & freshly ground black pepper,6
Nigerian,salt & freshly ground black pepper,1
Ethiopian,salt & freshly ground black pepper,
Ecuadorean,salt & freshly ground black pepper,1
Peruvian,salt & freshly ground black pepper,6
Egyptian,salt & freshly ground black pepper,6
Argentine,salt & freshly ground black pepper,3
Chilean,salt & freshly ground black pepper,4
Malaysian,salt & freshly ground black pepper,1
Nepalese,salt & freshly ground black pepper,1
Vietnamese,salt & freshly ground black pepper,2
Palestinian,salt & freshly ground black pepper,
Norwegian,salt & freshly ground black pepper,3
Austrian,salt & freshly ground black pepper,6
Libyan,salt & freshly ground black pepper,1
Angolan,salt & freshly ground black pepper,1
Korean,salt & freshly ground black pepper,2
Cambodian,salt & freshly ground black pepper,
Mongolian,salt & freshly ground black pepper,
Northamerican,walnuts,1019
Mexican,walnuts,21
American,walnuts,705
Canadian,walnuts,105
Hawaiian,walnuts,10
South Eestern United States,walnuts,11
Asian,walnuts,124
Indian,walnuts,19
German,walnuts,17
European,walnuts,452
Italian,walnuts,80
Southern United States,walnuts,94
Indonesian,walnuts,1
Pacific North West,walnuts,18
Polish,walnuts,2
Chinese,walnuts,13
British Columbian,walnuts,21
Danish,walnuts,7
Scandinavian,walnuts,29
Swiss,walnuts,7
Swedish,walnuts,10
French,walnuts,20
African,walnuts,31
Australian,walnuts,49
English,walnuts,42
Quebec,walnuts,5
Middle Eastern,walnuts,81
Lebanese,walnuts,7
Greek,walnuts,83
South American,walnuts,10
Russian,walnuts,10
Japanese,walnuts,1
Puertorican,walnuts,
Spanish,walnuts,6
Irish,walnuts,10
Thai,walnuts,1
Polynesian,walnuts,
Iraqi,walnuts,4
Pakistani,walnuts,
Scottish,walnuts,16
South African,walnuts,4
Colombian,walnuts,
Welsh,walnuts,6
Czech,walnuts,5
Filipino,walnuts,1
Cuban,walnuts,
Belgian,walnuts,
Costarican,walnuts,
Guatemalan,walnuts,
Finnish,walnuts,
Moroccan,walnuts,11
Iranian Persian,walnuts,20
Turkish,walnuts,13
Portuguese,walnuts,3
Hungarian,walnuts,13
Georgian,walnuts,7
Brazilian,walnuts,2
Nigerian,walnuts,
Ethiopian,walnuts,1
Ecuadorean,walnuts,
Peruvian,walnuts,1
Egyptian,walnuts,7
Argentine,walnuts,
Chilean,walnuts,1
Malaysian,walnuts,
Nepalese,walnuts,
Vietnamese,walnuts,1
Palestinian,walnuts,
Norwegian,walnuts,7
Austrian,walnuts,5
Libyan,walnuts,
Angolan,walnuts,
Korean,walnuts,1
Cambodian,walnuts,1
Mongolian,walnuts,
Northamerican,fresh basil,517
Mexican,fresh basil,26
American,fresh basil,319
Canadian,fresh basil,74
Hawaiian,fresh basil,6
South Eestern United States,fresh basil,20
Asian,fresh basil,136
Indian,fresh basil,8
German,fresh basil,1
European,fresh basil,974
Italian,fresh basil,689
Southern United States,fresh basil,55
Indonesian,fresh basil,1
Pacific North West,fresh basil,18
Polish,fresh basil,
Chinese,fresh basil,3
British Columbian,fresh basil,19
Danish,fresh basil,1
Scandinavian,fresh basil,3
Swiss,fresh basil,2
Swedish,fresh basil,1
French,fresh basil,50
African,fresh basil,18
Australian,fresh basil,42
English,fresh basil,8
Quebec,fresh basil,
Middle Eastern,fresh basil,15
Lebanese,fresh basil,
Greek,fresh basil,77
South American,fresh basil,11
Russian,fresh basil,4
Japanese,fresh basil,2
Puertorican,fresh basil,1
Spanish,fresh basil,16
Irish,fresh basil,
Thai,fresh basil,64
Polynesian,fresh basil,1
Iraqi,fresh basil,
Pakistani,fresh basil,
Scottish,fresh basil,2
South African,fresh basil,
Colombian,fresh basil,
Welsh,fresh basil,
Czech,fresh basil,
Filipino,fresh basil,
Cuban,fresh basil,1
Belgian,fresh basil,
Costarican,fresh basil,1
Guatemalan,fresh basil,
Finnish,fresh basil,
Moroccan,fresh basil,4
Iranian Persian,fresh basil,1
Turkish,fresh basil,1
Portuguese,fresh basil,5
Hungarian,fresh basil,
Georgian,fresh basil,1
Brazilian,fresh basil,2
Nigerian,fresh basil,
Ethiopian,fresh basil,4
Ecuadorean,fresh basil,
Peruvian,fresh basil,
Egyptian,fresh basil,
Argentine,fresh basil,1
Chilean,fresh basil,4
Malaysian,fresh basil,
Nepalese,fresh basil,
Vietnamese,fresh basil,9
Palestinian,fresh basil,
Norwegian,fresh basil,
Austrian,fresh basil,1
Libyan,fresh basil,
Angolan,fresh basil,1
Korean,fresh basil,
Cambodian,fresh basil,2
Mongolian,fresh basil,
Northamerican,ketchup,1148
Mexican,ketchup,52
American,ketchup,864
Canadian,ketchup,98
Hawaiian,ketchup,19
South Eestern United States,ketchup,83
Asian,ketchup,245
Indian,ketchup,8
German,ketchup,15
European,ketchup,134
Italian,ketchup,21
Southern United States,ketchup,206
Indonesian,ketchup,4
Pacific North West,ketchup,14
Polish,ketchup,6
Chinese,ketchup,74
British Columbian,ketchup,7
Danish,ketchup,
Scandinavian,ketchup,5
Swiss,ketchup,1
Swedish,ketchup,3
